,Unnamed: 0,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,0,Brendan,Middle Eastern Taboon BreadIndian Rotis,4,Chocolate and Vanilla Bagels Cumin and Gruyere Bagels,1,cakes,3
1,1,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,"Cranberry and Orange Bagels Chipotle, Chili, and Smoked Cheddar Bagels",1,cakes,3
2,2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,UNKNOWN,1,cakes,3
3,3,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,"Orange, Mint and Chocolate Bagels 'Millers' Sourdough Bagels",1,cakes,3
4,4,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,"Fig, Walnut and Gruyere Bagels Blueberry and White Chocolate Bagels",1,cakes,3
5,5,Manisha,Indian FlatbreadsItalian Flatbreads,6,UNKNOWN,1,cakes,3
6,6,Peter,Fennel and Nigella Seed NaanBannock Bread,11,Rosemary and Sea Salt Bagels Apple and Cinnamon Bagels,1,cakes,3
7,7,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,Cinnamon and Date Bagels Tarragon and Rosemary Bagels,1,cakes,3
8,8,Sarah-Jane,Toasted Coconut and Lime RotisOatcakes,10,UNKNOWN,1,cakes,3
9,9,Stuart,Bombay BreadChorizo and Spring Onion Naan,9,Cinnamon and Cranberry Bagels Tomato and Thyme Bagels,1,cakes,3
10,10,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,Saffron and Golden Raisin Bagels Porcini Bagels,1,cakes,3
11,0,Brendan,Apple and Ginger Tarte Tatin,9,"Blackberry, Nectarine and Dragon Fruit Tart",2,bread,3
12,1,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3,"Raspberry, Pistachio and Lemon Tart",2,bread,3
13,2,Danny,Savoury Pear and Roquefort Tarte Tatin,2,"Pineapple, Coconut and Frangipane Tart",2,bread,3
14,3,James,Apple and Lavender Tarte Tatin,1,"Rose, Lychee and Raspberry Fruit Tart",2,bread,3
15,4,John,Apple and Vanilla Tarte Tatin with Walnut Praline,6,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",2,bread,3
16,5,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",10,Rum and Tropical Fruit Tart,2,bread,3
17,6,Ryan,Spiced Pear Tarte Tatin,5,UNKNOWN,2,bread,3
18,7,Sarah-Jane,Caramelised Banana Tarte Tatin,8,French Apple Tart with Blackberry and Cassis Jam,2,bread,3
19,8,Stuart,Pear and Almond Tarte Tatin,7,Raspberry Triple Chocolate Layered Tart,2,bread,3
20,9,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,Tropical Fruit Tart with Black Pepper Crust,2,bread,3
21,0,Brendan,Clementine and Chestnut Torte,1,"Pear, Chocolate and Hazelnut Dacquoise",3,tarts,3
22,1,Cathryn,"White Chocolate, Macadamia and Coffee Torte",3,"Gooseberry, Almond and Honey Meringue",3,tarts,3
23,2,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",3,tarts,3
24,3,James,"Hazelnut, Chocolate and Passionfruit Torte",5,"Fig, Chestnut, Cherry and Chocolate Layered Meringue",3,tarts,3
25,4,John,'Torte Noir' Black Forest Torte with Boozy Cream,6,Elderflower and Bramble Berry Pavlova,3,tarts,3
26,5,Manisha,"Almond, Chocolate and Cherry Torte",9,Tiramisu Layered Meringue Dessert,3,tarts,3
27,6,Ryan,Green Tea Opera Torte,7,"Strawberry, Rose and Pistachio Meringue",3,tarts,3
28,7,Sarah-Jane,Chocolate and Almond Truffle Torte,4,Hazelnut Tiramisu Layered Meringue,3,tarts,3
29,8,Stuart,Black Forest Torte,8,Choca Blocka Mocha Meringue,3,tarts,3
30,0,Brendan,Salmon Coulibiac in a Scandinavian Pastry,3,All American Chiffon Pie,4,desserts,3
31,1,Cathryn,Full English Wellington,1,Chocolate and Peanut Butter Pumpkin Pie,4,desserts,3
32,2,Danny,"Chickpea, Spinach & Mushroom Wellington",7,Trick or Treat Pumpkin Pie,4,desserts,3
