,baker,season,round,outcome,eliminated,star baker,passed,favourite,least favourite,runner up,winner
0,John,3,1, Baker got through to the next round,False,False,True,False,False,False,False
1,Brendan,3,1, Baker got through to the next round,False,False,True,False,False,False,False
2,James,3,1, Baker got through to the next round,False,False,True,False,False,False,False
3,Danny,3,1, Baker got through to the next round,False,False,True,False,False,False,False
4,Cathryn,3,1," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
5,Ryan,3,1, Baker got through to the next round,False,False,True,False,False,False,False
6,Sarah-Jane,3,1, Baker got through to the next round,False,False,True,False,False,False,False
7,Manisha,3,1, Baker got through to the next round,False,False,True,False,False,False,False
8,Stuart,3,1," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
9,Victoria,3,1, Baker was the Star Baker,False,True,False,False,False,False,False
10,Peter,3,1, Baker got through to the next round,False,False,True,False,False,False,False
11,Natasha,3,1, Baker was eliminated,True,False,False,False,False,False,False
12,Frances,4,1,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
13,Kimberley,4,1,Baker got through to the next round,False,False,True,False,False,False,False
14,Ruby,4,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
15,Beca,4,1,Baker got through to the next round,False,False,True,False,False,False,False
16,Christine,4,1,Baker got through to the next round,False,False,True,False,False,False,False
17,Glenn,4,1,Baker got through to the next round,False,False,True,False,False,False,False
18,Howard,4,1,"Baker was one of the judges' favourite bakers that week, but did not win star baker.",False,False,False,True,False,False,False
19,Robert,4,1,Baker was the Star Baker,False,True,False,False,False,False,False
20,Ali,4,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
21,Deborah,4,1,Baker got through to the next round,False,False,True,False,False,False,False
22,Mark,4,1,Baker got through to the next round,False,False,True,False,False,False,False
23,Lucy,4,1,Baker got through to the next round,False,False,True,False,False,False,False
24,Toby,4,1,Baker was eliminated,True,False,False,False,False,False,False
25,Nancy,5,1,Baker was the Star Baker.,False,True,False,False,False,False,False
26,Luis,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
27,Richard,5,1,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
28,Chetna,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
29,Martha,5,1,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",False,False,False,True,False,False,False
30,Kate,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
31,Norman,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
32,Diana,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
33,Iain,5,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
34,Jordan,5,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
35,Enwezor,5,1,Baker got through to the next round.,False,False,True,False,False,False,False
36,Claire,5,1,Baker was eliminated.,True,False,False,False,False,False,False
37,Jo,2,1," Baker was one of the judges' favourite bakers that week, but did not win star baker",False,False,False,True,False,False,False
38,Holly,2,1, Baker was the Star Baker,False,True,False,False,False,False,False
39,Mary-Anne,2,1, Baker got through to the next round,False,False,True,False,False,False,False
40,Janet,2,1, Baker got through to the next round,False,False,True,False,False,False,False
41,Yasmin,2,1, Baker got through to the next round,False,False,True,False,False,False,False
42,Jason,2,1, Baker got through to the next round,False,False,True,False,False,False,False
43,Robert,2,1," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
44,Ben,2,1, Baker got through to the next round,False,False,True,False,False,False,False
45,Ian,2,1, Baker got through to the next round,False,False,True,False,False,False,False
46,Urvashi,2,1, Baker got through to the next round,False,False,True,False,False,False,False
47,Simon,2,1," Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
48,Keith,2,1, Baker was eliminated,True,False,False,False,False,False,False
49,Candice,7,1,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",False,False,False,False,True,False,False
50,Andrew,7,1,Baker got through to the next round.,False,False,True,False,False,False,False
