,Baker,1,2,3,4,5,6,,season
1,Edd, Baker got through to the next round, Baker was one of the judges' favourite bakers that week, Baker was one of the judges' favourite bakers that week," Baker was one of the judges' least favourite bakers that week, but was not eliminated", Baker was one of the judges' favourite bakers that week, Baker was the series winner,,1
2,Ruth, Baker was one of the judges' favourite bakers that week, Baker got through to the next round, Baker was one of the judges' favourite bakers that week, Baker got through to the next round, Baker was one of the judges' favourite bakers that week, Baker was the series runner-up,,1
3,Miranda, Baker was one of the judges' favourite bakers that week, Baker was one of the judges' favourite bakers that week, Baker got through to the next round, Baker was one of the judges' favourite bakers that week," Baker was one of the judges' least favourite bakers that week, but was not eliminated", Baker was eliminated in the first challenge of the final.,,1
4,Jasminder, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated", Baker was one of the judges' favourite bakers that week, Baker was eliminated,out,,1
5,David," Baker was one of the judges' least favourite bakers that week, but was not eliminated"," Baker was one of the judges' least favourite bakers that week, but was not eliminated"," Baker was one of the judges' least favourite bakers that week, but was not eliminated", Baker was eliminated,out,out,,1
6,Jonathan, Baker got through to the next round, Baker was one of the judges' favourite bakers that week, Baker was eliminated,out,out,out,,1
7,Annetha, Baker was one of the judges' favourite bakers that week, Baker was eliminated,out,out,out,out,,1
8,Louise," Baker was one of the judges' least favourite bakers that week, but was not eliminated", Baker was eliminated,out,out,out,out,,1
9,Lea, Baker was eliminated,out,out,out,out,out,,1
10,Mark, Baker was eliminated,out,out,out,out,out,,1
