,Baker,1,2,3,4,5,6[1],7,8,9,10,,season
1,John, Baker got through to the next round, Baker was the Star Baker, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' favourite bakers that week, but did not win star baker"," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was the series winner,,3
2,Brendan, Baker got through to the next round," Baker was one of the judges' favourite bakers that week, but did not win star baker"," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was the Star Baker," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker was the Star Baker," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker got through to the next round," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker was the series runner-up,,3
3,James, Baker got through to the next round," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker was the Star Baker, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was the Star Baker, Baker was the Star Baker, Baker was the series runner-up,,3
4,Danny, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' favourite bakers that week, but did not win star baker"," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker was the Star Baker," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was eliminated,out,,3
5,Cathryn," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker got through to the next round, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was eliminated,out,out,,3
6,Ryan, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was the Star Baker, Baker got through to the next round, Baker was eliminated,out,out,out,,3
7,Sarah-Jane, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was eliminated,out,out,out,,3
8,Manisha, Baker got through to the next round, Baker got through to the next round, Baker got through to the next round," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was eliminated,out,out,out,out,out,,3
9,Stuart," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' least favourite bakers that week, but was not eliminated."," Baker was one of the judges' favourite bakers that week, but did not win star baker", Baker was eliminated,out,out,out,out,out,out,,3
10,Victoria, Baker was the Star Baker," Baker was one of the judges' least favourite bakers that week, but was not eliminated.", Baker was eliminated,out,out,out,out,out,out,out,,3
11,Peter, Baker got through to the next round, Baker was eliminated,out,out,out,out,out,out,out,out,,3
12,Natasha, Baker was eliminated,out,out,out,out,out,out,out,out,out,,3
