,Baker[6],Age,Occupation,Hometown,Links
0,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",[7][8]
1,Dorret Conway,53,Accountant,"Penwortham, Lancashire",[9][10]
2,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",[11][12]
3,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",[13][14]
4,Marie Campbell,66,Retired,"Auchterarder, Perthshire",[15]
5,Mat Riley,37,Fire fighter,London,[16]
6,Nadiya Hussain,30,Full-time mother,Leeds / Luton,[17]
7,Paul Jagger,49,Prison governor,"Swansea, Wales",[18][19]
8,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",[20][21]
9,Stu Henshall,35,Professional musician,"Guildford, Surrey",[22][23][24]
10,Tamal Ray,29,Trainee anaesthetist,Manchester,[25]
11,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London",[26][27][28]
