,Baker [6][7][8],Age,Occupation,Hometown,Links
0,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",[9][10]
1,Benjamina Ebuehi,23,Teaching assistant,South London,[11]
2,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",[12][13]
3,Jane Beedle,61,Garden designer,Beckenham,[14]
4,Kate Barmby,37,Nurse,"Brooke, Norfolk",[15][16]
5,Lee Banfield,67,Pastor,Bolton,[17]
6,Louise Williams,46,Hairdresser,Cardiff,[18]
7,Michael Georgiou,20,Student,Durham,[19]
8,Rav Bansal,28,Student support,Erith,[20]
9,Selasi Gbormittah,30,Client service associate,London,[21]
10,Tom Gilliford,26,Project engagement manager,Rochdale,[22]
11,"Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher",Yeovil,[23]
