,Baker,1,2,3,4,5,6,7,8,9,10,,,,,,,,season
1,Candice,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the series winner.,,,,,,,,7
2,Andrew,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker got through to the next round.,Baker was the Star Baker.,Baker was a series runner-up.,,,,,,,,7
3,Jane,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was a series runner-up.,,,,,,,,7
4,Selasi,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,7
5,Benjamina,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,out,out,out,out,out,out,,7
6,Tom,Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,7
7,Rav,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,7
8,Val,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,7
9,Kate,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,,7
10,Michael,Baker got through to the next round.,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,,,,,,7
11,Louise,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,,,,7
12,Lee,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,,,,,7
