,Baker,1,2,3,4,5,6,7,8,9,10,,,,,season
1,Sophie,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker was the Star Baker.,Baker was the series winner.,,,,,8
2,Kate,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was a series runner-up.,,,,,8
3,Steven,Baker was the Star Baker.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was a series runner-up.,,,,,8
4,Stacey,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker was eliminated.,out,,,,,8
5,Liam,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,,,,,8
6,Yan,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was eliminated.,out,out,out,,,,,8
7,Julia,Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,8
8,James,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,,8
9,Tom,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,8
10,Flo,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,8
11,Chris,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,8
12,Peter,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,,,,8
